#{"t_start": 1727522183.255062, "env_id": "BipedalWalker-v3"}
r,l,t
-44.880685,1600,392.464144
-130.129008,1600,393.272274
-148.129447,575,393.450522
-92.540834,207,393.512027
-43.652397,1600,394.333364
-43.014723,1600,395.124892
-45.409688,1600,395.915059
-32.412049,1600,396.426351
-101.201006,329,396.803006
-53.453778,1600,397.306231
-36.841097,1600,398.094762
-77.316248,1600,398.862143
-92.95455,222,398.934406
-47.330343,1600,399.731129
-31.189171,1600,400.534878
-56.574268,1600,401.034473
-33.202287,1600,401.81398
-41.003967,1600,402.617695
-84.354193,360,402.733533
-77.296003,1600,403.496379
-29.645596,1600,404.312986
-28.838332,1600,405.097085
-31.976809,1600,405.661898
-68.327363,1600,406.437614
-42.106159,1600,407.207909
-47.462971,1600,407.989342
-67.844052,1600,408.508868
-66.567961,1600,409.311325
-26.972396,1600,410.125861
-83.58287,1600,410.882023
-153.92881,1600,411.664426
-17.847674,1600,412.214554
-92.84172,554,412.644119
-19.677465,1600,413.186345
-86.583589,162,413.232659
-122.224828,84,413.524105
-102.215332,1600,414.036751
-24.765587,1600,414.821692
-89.893895,176,414.877174
-31.108966,1600,415.681634
-24.844963,1600,416.470777
-88.929418,190,416.541157
-32.001243,1600,417.343955
-73.637251,1600,417.851461
-108.934254,1600,418.639816
-86.080595,140,418.684879
-30.111953,1600,419.507894
-32.757318,1600,420.313698
-100.345399,1314,420.724492
-25.754193,1600,421.520075
-44.60816,1600,422.330747
-51.786575,1600,423.135592
-80.649632,1600,423.889048
-90.600121,1600,424.42808
-58.936801,1600,425.248554
-96.431941,281,425.335651
-38.285323,1600,426.150874
-95.221391,1600,426.911265
-110.505576,1600,427.679286
-94.929143,273,427.778464
-73.277348,1600,428.535416
-43.278632,1600,429.064169
-90.609948,1600,429.858721
-42.997287,1600,430.681464
-56.031317,1600,431.442984
-58.590567,1600,431.994252
-44.384706,1600,432.822475
-73.325923,1600,433.604453
-46.231166,1600,434.409489
-21.75165,1600,435.169988
-44.993844,1600,435.714524
-38.395541,1600,436.557479
-73.56094,1600,437.329801
-88.789106,801,437.582515
-39.690842,1600,438.394142
-92.966916,862,438.646165
-75.063231,1600,439.424904
-95.423896,275,439.50749
-36.26346,1600,440.361345
-36.161262,1600,441.205464
-91.055635,1600,441.962326
-64.428477,1600,442.724482
-89.440081,183,442.790769
-47.92861,1600,443.338165
-90.9061,184,443.392471
-29.884544,1600,444.229772
-93.224126,210,444.291291
-89.416346,161,444.337747
-72.40348,1600,445.112084
-110.274871,1600,445.90878
-87.169024,800,446.14699
-86.084903,151,446.191214
-61.324826,1600,446.986747
-103.484462,1140,447.612811
-86.818071,150,460.129336
-88.934403,167,460.17733
-110.463629,1600,460.591351
-91.798004,210,460.907754
-50.232882,1600,461.351846
-80.67502,494,461.743506
-69.007146,1600,462.174333
-124.431975,1600,462.89177
-64.173781,1600,463.568118
-83.747699,478,463.69549
-63.002747,1600,464.39812
-61.933783,1600,465.089307
-45.038014,1600,465.515345
-54.271769,1600,466.209086
-100.512767,1600,466.897377
-23.959267,1600,467.593983
-47.592208,1600,468.284764
-89.69486,179,468.33749
-98.523595,344,468.434806
-90.027048,189,468.487413
-41.19526,1600,469.218704
-61.221262,1600,469.889777
-54.594513,1600,470.319299
-58.343633,1600,471.004229
-58.558496,1600,471.697928
-90.169458,179,471.747729
-34.999551,1600,472.507792
-19.127243,1600,473.201171
-70.530348,1600,473.638922
-35.620616,1600,474.328717
-106.786727,1600,475.010877
-70.410371,1600,475.701456
